Date,Open,High,Low,Close
2024-07-08,55849.57421875,58131.3359375,54321.01953125,56705.09765625
2024-07-09,56704.59765625,58239.1953125,56316.875,58009.2265625
2024-07-10,58033.8828125,59359.43359375,57178.4140625,57742.49609375
2024-07-11,57729.890625,59299.43359375,57120.37890625,57344.9140625
2024-07-12,57341.1953125,58532.5546875,56590.17578125,57899.46484375
2024-07-13,57908.73828125,59787.078125,57796.44140625,59231.953125
2024-07-14,59225.25,61329.52734375,59225.25,60787.79296875
2024-07-15,60815.45703125,64870.15234375,60704.9296875,64870.15234375
2024-07-16,64784.41796875,65354.33984375,62487.96875,65097.1484375
2024-07-17,65091.83203125,66066.734375,63896.0859375,64118.79296875
2024-07-18,64104.73828125,65104.66015625,63246.1640625,63974.06640625
2024-07-19,63972.32421875,67442.640625,63329.34375,66710.15625
2024-07-20,66709.921875,67610.734375,66299.6171875,67163.6484375
2024-07-21,67164.9140625,68372.90625,65842.296875,68154.5234375
2024-07-22,68152.9765625,68480.0625,66611.296875,67585.25
2024-07-23,67584.8046875,67779.015625,65484.4609375,65927.671875
2024-07-24,65927.859375,67113.984375,65146.99609375,65372.1328125
2024-07-25,65375.875,66112.421875,63473.47265625,65777.2265625
2024-07-26,65771.8125,68207.6015625,65743.765625,67912.0625
2024-07-27,67911.8125,69398.5078125,66705.21875,67813.3359375
2024-07-28,67808.65625,68301.8515625,67085.828125,68255.8671875
2024-07-29,68259.0546875,69987.5390625,66532.59375,66819.9140625
2024-07-30,66819.0546875,66987.671875,65323.19140625,66201.015625
2024-07-31,66201.2734375,66810.2109375,64532.046875,64619.25
2024-08-01,64625.83984375,65593.2421875,62248.94140625,65357.5
2024-08-02,65353.5,65523.22265625,61184.89453125,61415.06640625
2024-08-03,61414.80859375,62148.37109375,59836.52734375,60680.09375
2024-08-04,60676.09375,61062.98828125,57210.8046875,58116.9765625
2024-08-05,58110.296875,58268.828125,49121.23828125,53991.45703125
2024-08-06,53991.34765625,57059.91796875,53973.2734375,56034.31640625
2024-08-07,56061.51953125,57688.93359375,55700.58203125,57274.32421875
