Date,BTC_Price,IXS_Price,XRP_Price,CSC_Price
2024-01-01,44167.33203125,0.38408198952674866,0.6300820112228394,0.0002589999930933118
2024-01-02,44957.96875,0.36896198987960815,0.6253629922866821,0.00026000000070780516
2024-01-03,42848.17578125,0.33578500151634216,0.5825799703598022,0.00021399999968707561
2024-01-04,44179.921875,0.37371399998664856,0.5882260203361511,0.00024900000425986946
2024-01-05,44162.69140625,0.34710100293159485,0.5764859914779663,0.00021100000594742596
2024-01-06,43989.1953125,0.3111079931259155,0.5685120224952698,0.00020799999765586108
2024-01-07,43943.09765625,0.3345920145511627,0.5517410039901733,0.00021100000594742596
2024-01-08,46970.50390625,0.3566400110721588,0.5779229998588562,0.0001990000018849969
2024-01-09,46139.73046875,0.3893919885158539,0.5666329860687256,0.00019999999494757503
2024-01-10,46627.77734375,0.4150629937648773,0.5999889969825745,0.00019999999494757503
2024-01-11,46368.5859375,0.39329901337623596,0.6020950078964233,0.00019999999494757503
2024-01-12,42853.16796875,0.35479700565338135,0.5702990293502808,0.0001900000061141327
2024-01-13,42842.3828125,0.3977459967136383,0.575078010559082,0.00019299999985378236
2024-01-14,41796.26953125,0.36195600032806396,0.5762330293655396,0.0001939999929163605
2024-01-15,42511.96875,0.42250099778175354,0.5759199857711792,0.00018099999579135329
2024-01-16,43154.9453125,0.4210349917411804,0.5759469866752625,0.00017800000205170363
2024-01-17,42742.65234375,0.42917600274086,0.5679730176925659,0.00018099999579135329
2024-01-18,41262.05859375,0.38358399271965027,0.5519070029258728,0.00017299999308306724
2024-01-19,41618.40625,0.36840200424194336,0.5442559719085693,0.00017899999511428177
2024-01-20,41665.5859375,0.376911997795105,0.5531259775161743,0.00017800000205170363
2024-01-21,41545.78515625,0.2947379946708679,0.546110987663269,0.00017299999308306724
2024-01-22,39507.3671875,0.2730349898338318,0.5267159938812256,0.00016799999866634607
2024-01-23,39845.55078125,0.26634401082992554,0.5177369713783264,0.0001610000035725534
2024-01-24,40077.07421875,0.29933398962020874,0.5179880261421204,0.00019200000679120421
2024-01-25,39933.80859375,0.27351200580596924,0.5136060118675232,0.00017699999443721026
2024-01-26,41816.87109375,0.2718769907951355,0.5321890115737915,0.00018099999579135329
2024-01-27,42120.0546875,0.2447109967470169,0.5302600264549255,0.00017699999443721026
2024-01-28,42035.59375,0.26558399200439453,0.5240939855575562,0.00017600000137463212
2024-01-29,43288.24609375,0.26804500818252563,0.5350900292396545,0.00016999999934341758
2024-01-30,42952.609375,0.25858598947525024,0.5106980204582214,0.0001740000006975606
2024-01-31,42582.60546875,0.1955769956111908,0.5031930208206177,0.0001630000042496249
2024-02-01,43075.7734375,0.22382600605487823,0.5058590173721313,0.00016199999663513154
2024-02-02,43185.859375,0.2045769989490509,0.5104119777679443,0.00016700000560376793
2024-02-03,42992.25,0.23815199732780457,0.5189390182495117,0.00016999999934341758
2024-02-04,42583.58203125,0.26868000626564026,0.5032879710197449,0.00016999999934341758
2024-02-05,42658.66796875,0.23370400071144104,0.5062440037727356,0.0001740000006975606
2024-02-06,43084.671875,0.25391799211502075,0.5051530003547668,0.00016700000560376793
2024-02-07,44318.22265625,0.23273299634456635,0.5137889981269836,0.00016700000560376793
2024-02-08,45301.56640625,0.21760599315166473,0.5145289897918701,0.00016399999731220305
2024-02-09,47147.19921875,0.24716399610042572,0.5260310173034668,0.00016900000628083944
2024-02-10,47771.27734375,0.298801988363266,0.5241119861602783,0.00019500000053085387
2024-02-11,48293.91796875,0.23822399973869324,0.5260840058326721,0.0001880000054370612
2024-02-12,49958.22265625,0.2795569896697998,0.5318970084190369,0.0001849999971454963
2024-02-13,49742.44140625,0.25212299823760986,0.5248349905014038,0.00020500000391621143
2024-02-14,51826.6953125,0.2834149897098541,0.5384010076522827,0.00020300000323913991
2024-02-15,51938.5546875,0.2602419853210449,0.5627549886703491,0.00021399999968707561
2024-02-16,52160.203125,0.2648949921131134,0.5649600028991699,0.00021699999342672527
2024-02-17,51662.99609375,0.2678000032901764,0.5498859882354736,0.00024300000222865492
2024-02-18,52122.546875,0.27359798550605774,0.5569030046463013,0.00030499999411404133
2024-02-19,51779.14453125,0.2681899964809418,0.5625969767570496,0.0002789999998640269
2024-02-20,52284.875,0.24935400485992432,0.5629220008850098,0.00023099999816622585
2024-02-21,51839.1796875,0.25740599632263184,0.5490040183067322,0.00023200000578071922
2024-02-22,51304.97265625,0.25271499156951904,0.540913999080658,0.0002519999979995191
2024-02-23,50731.94921875,0.2620539963245392,0.5345339775085449,0.00023099999816622585
2024-02-24,51571.1015625,0.2744620144367218,0.545117974281311,0.00027600000612437725
2024-02-25,51733.23828125,0.27464500069618225,0.5424249768257141,0.00023999999393709004
2024-02-26,54522.40234375,0.30101698637008667,0.5514050126075745,0.00025499999173916876
2024-02-27,57085.37109375,0.30412599444389343,0.5862579941749573,0.00024300000222865492
2024-02-28,62504.7890625,0.33454498648643494,0.5758110284805298,0.0002229999954579398
2024-02-29,61198.3828125,0.35293200612068176,0.5863249897956848,0.00028300000121816993
2024-03-01,62440.6328125,0.33145400881767273,0.6018900275230408,0.000307999987853691
2024-03-02,62029.84765625,0.32803499698638916,0.64485102891922,0.0004140000091865659
2024-03-03,63167.37109375,0.33819499611854553,0.6270719766616821,0.00036199999158270657
2024-03-04,68330.4140625,0.28535398840904236,0.6501330137252808,0.0003769999893847853
2024-03-05,63801.19921875,0.27029499411582947,0.5929009914398193,0.00031999999191612005
2024-03-06,66106.8046875,0.3147610127925873,0.6122530102729797,0.0003370000049471855
