index,Date,Bitcoin,XRP,Crypto,BTC_Price,XRP_Price
71,2021-03-13,57,2,12,61243.0859375,0.45992401242256165
72,2021-03-14,55,2,12,59302.31640625,0.442111998796463
73,2021-03-15,50,2,11,55907.19921875,0.4375549852848053
74,2021-03-16,45,2,11,56804.90234375,0.4625999927520752
75,2021-03-17,43,2,10,58870.89453125,0.4724169969558716
76,2021-03-18,42,2,10,57858.921875,0.4729189872741699
77,2021-03-19,38,2,10,58346.65234375,0.47117099165916443
78,2021-03-20,39,3,11,58313.64453125,0.5269910097122192
79,2021-03-21,37,3,10,57523.421875,0.5198349952697754
80,2021-03-22,38,4,11,54529.14453125,0.5499420166015625
81,2021-03-23,38,3,9,54738.9453125,0.5565950274467468
82,2021-03-24,43,2,9,52774.265625,0.48883700370788574
83,2021-03-25,48,2,9,51704.16015625,0.5174980163574219
84,2021-03-26,37,2,8,55137.3125,0.5670549869537354
85,2021-03-27,36,2,10,55973.51171875,0.5504429936408997
86,2021-03-28,35,2,10,55950.74609375,0.5507559776306152
87,2021-03-29,40,2,11,57750.19921875,0.5678709745407104
88,2021-03-30,39,2,11,58917.69140625,0.5668590068817139
89,2021-03-31,39,2,11,58918.83203125,0.573868989944458
90,2021-04-01,43,2,10,59095.80859375,0.5792919993400574
91,2021-04-02,38,2,11,59384.3125,0.6165689826011658
92,2021-04-03,37,3,13,57603.890625,0.5909150242805481
93,2021-04-04,34,2,13,58758.5546875,0.6467289924621582
94,2021-04-05,37,10,14,59057.87890625,0.9204729795455933
95,2021-04-06,35,13,13,58192.359375,1.0962660312652588
96,2021-04-07,33,7,13,56048.9375,0.917576014995575
97,2021-04-08,34,5,12,58323.953125,1.0527559518814087
98,2021-04-09,32,5,11,58245.00390625,1.0208369493484497
99,2021-04-10,37,11,13,59793.234375,1.3744159936904907
100,2021-04-11,36,12,14,60204.96484375,1.3605300188064575
101,2021-04-12,37,8,13,59893.453125,1.4677350521087646
102,2021-04-13,48,17,15,63503.45703125,1.7940009832382202
103,2021-04-14,53,14,17,63109.6953125,1.8392360210418701
104,2021-04-15,45,10,16,63314.01171875,1.7660670280456543
105,2021-04-16,49,10,25,61572.7890625,1.55752694606781
106,2021-04-17,41,8,24,60683.8203125,1.5600550174713135
107,2021-04-18,72,8,26,56216.18359375,1.4059979915618896
108,2021-04-19,58,7,24,55724.265625,1.3150440454483032
109,2021-04-20,50,6,26,56473.03125,1.3832989931106567
110,2021-04-21,42,5,23,53906.08984375,1.2964979410171509
111,2021-04-22,50,5,21,51762.2734375,1.159682035446167
112,2021-04-23,76,6,24,51093.65234375,1.169659972190857
113,2021-04-24,53,4,16,50050.8671875,1.0487060546875
114,2021-04-25,46,4,16,49004.25390625,1.032256007194519
115,2021-04-26,51,5,16,54021.75390625,1.3685059547424316
116,2021-04-27,45,6,17,55033.1171875,1.4009549617767334
117,2021-04-28,41,5,16,54824.703125,1.3586009740829468
118,2021-04-29,38,4,17,53555.109375,1.399359941482544
119,2021-04-30,37,8,16,57750.17578125,1.5916739702224731
